DBN,School Name,School Code,,Beginning Balance,Total Income,Total Expenses,Ending Balance,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,%NonWhite,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,Total Enrollment,Raised per student
15K039,P.S. 039 Henry Bristow,K039,K,248104.00,240219.00,211830.00,276494.00,33.00,0.08,18.00,0.04,36.00,0.09,8.00,0.02,317.00,0.77,0.23,43.00,0.10,17.00,0.04,55.00,0.13,0.15,412.00,583.06
02M255,M.S. 255 Salk School of Science,M255,M,429418.00,218177.00,159786.00,58391.00,72.00,0.18,8.00,0.02,38.00,0.10,32.00,0.08,244.00,0.62,0.38,62.00,0.16,1.00,0.00,56.00,0.14,0.14,394.00,553.75
15K154,The Windsor Terrace School,K154,K,462931.46,299754.79,346975.31,401643.67,38.00,0.07,17.00,0.03,97.00,0.18,35.00,0.06,365.00,0.66,0.34,98.00,0.18,18.00,0.03,90.00,0.16,0.18,552.00,543.03
02M416,Eleanor Roosevelt High School,M416,M,237840.00,282975.00,238318.00,282497.00,81.00,0.15,14.00,0.03,53.00,0.10,33.00,0.06,349.00,0.66,0.34,83.00,0.16,0.00,0.00,103.00,0.19,0.19,530.00,533.92
02M407,Institute for Collaborative Education,M407,M,64881.00,255009.00,207958.00,47051.00,34.00,0.07,108.00,0.22,93.00,0.19,20.00,0.04,231.00,0.48,0.53,80.00,0.17,2.00,0.00,133.00,0.27,0.35,486.00,524.71
01M696,Bard High School Early College,M696,M,101207.37,317604.51,25681247.00,161999.41,178.00,0.29,66.00,0.11,108.00,0.18,15.00,0.02,248.00,0.40,0.60,48.00,0.08,1.00,0.00,247.00,0.40,0.39,615.00,516.43
02M408,Professional Performing Arts High School,M408,M,112828.00,286437.00,140308.00,146129.00,39.00,0.07,116.00,0.21,114.00,0.20,37.00,0.07,252.00,0.45,0.55,79.00,0.14,1.00,0.00,195.00,0.35,0.36,558.00,513.33
02M114,East Side Middle School,M114,M,91566.00,229629.00,221561.00,102392.00,63.00,0.14,13.00,0.03,53.00,0.12,33.00,0.07,289.00,0.64,0.36,75.00,0.17,0.00,0.00,73.00,0.16,0.13,451.00,509.16
26Q430,Francis Lewis High School,Q430,Q,8113.83,2200659.00,14455.57,7551.02,2540.00,0.57,276.00,0.06,958.00,0.21,51.00,0.01,667.00,0.15,0.85,653.00,0.15,472.00,0.11,3102.00,0.69,0.58,4492.00,489.91
03M479,Beacon High School,M479,M,225366.00,685767.00,380077.00,305690.00,128.00,0.09,202.00,0.14,280.00,0.20,147.00,0.10,666.00,0.47,0.53,168.00,0.12,1.00,0.00,513.00,0.36,0.30,1423.00,481.92
15K261,P.S. 261 Philip Livingston,K261,K,0.00,373279.36,309775.86,83916.71,60.00,0.08,165.00,0.21,146.00,0.18,44.00,0.06,379.00,0.48,0.52,140.00,0.18,34.00,0.04,274.00,0.35,0.35,794.00,470.13
02M151,Yorkville Community School,M151,M,410040.00,228259.00,247731.00,390568.00,32.00,0.07,72.00,0.15,114.00,0.24,30.00,0.06,238.00,0.49,0.51,89.00,0.18,20.00,0.04,184.00,0.38,0.37,486.00,469.67
03M291,West End Secondary School,M291,M,145355.72,202598.71,193188.50,154765.93,31.00,0.07,28.00,0.07,82.00,0.19,16.00,0.04,275.00,0.64,0.36,93.00,0.22,2.00,0.01,76.00,0.18,0.18,432.00,468.98
04M012,Tag Young Scholars,M012,M,294780.00,269628.00,278758.00,285650.00,248.00,0.41,99.00,0.17,90.00,0.15,61.00,0.10,103.00,0.17,0.83,29.00,0.05,5.00,0.01,205.00,0.34,0.38,601.00,448.63
01M361,The Children's Workshop School,M361,M,92439.00,134233.00,109943.00,116729.00,31.00,0.10,33.00,0.10,127.00,0.40,17.00,0.05,112.00,0.35,0.65,75.00,0.23,11.00,0.03,154.00,0.48,0.53,320.00,419.48
