DBN,School Name,School Code,,Beginning Balance,Total Income,Total Expenses,Ending Balance,# Asian,% Asian,# Black,% Black,# Hispanic,% Hispanic,# Multiple Race Categories Not Represented,% Multiple Race Categories Not Represented,# White,% White,%NonWhite,# Students with Disabilities,% Students with Disabilities,# English Language Learners,% English Language Learners,# Poverty,% Poverty,Economic Need Index,Total Enrollment,Raised per student
10X353,World View High School,X353,X,0.00,0.00,0.00,0.00,7.00,0.01,127.00,0.23,394.00,0.72,18.00,0.03,5.00,0.01,0.99,96.00,0.17,138.00,0.25,416.00,0.76,0.80,551.00,0.00
10X360,P.S. 360,X360,X,0.00,0.00,0.00,0.00,9.00,0.02,48.00,0.11,361.00,0.83,2.00,0.01,13.00,0.03,0.97,103.00,0.24,78.00,0.18,404.00,0.93,0.87,433.00,0.00
10X374,Knowledge and Power Preparatory Academy International High School (Kappa),X374,X,0.00,0.00,0.00,0.00,10.00,0.02,125.00,0.27,308.00,0.66,8.00,0.02,13.00,0.03,0.97,114.00,0.25,51.00,0.11,404.00,0.87,0.84,464.00,0.00
10X382,"Elementary School for Math, Science, and Technology",X382,X,0.00,0.00,0.00,0.00,2.00,0.01,62.00,0.22,212.00,0.76,2.00,0.01,0.00,0.00,1.00,50.00,0.18,81.00,0.29,266.00,0.96,0.97,278.00,0.00
10X386,School for Environmental Citizenship,X386,X,319.25,0.00,0.00,319.25,4.00,0.01,70.00,0.12,521.00,0.86,0.00,0.00,9.00,0.02,0.99,108.00,0.18,197.00,0.33,592.00,0.98,0.97,604.00,0.00
10X390,M.S. 390,X390,,,,,,6.00,0.01,70.00,0.13,460.00,0.85,1.00,0.00,2.00,0.00,1.00,139.00,0.26,150.00,0.28,513.00,0.95,0.93,539.00,0.00
10X391,The Angelo Patri Middle School,X391,X,0.00,0.00,0.00,0.00,9.00,0.02,110.00,0.23,348.00,0.73,3.00,0.01,5.00,0.01,0.99,125.00,0.26,169.00,0.36,432.00,0.91,0.95,475.00,0.00
10X397,English Language Learners and International Support Preparatory Academy (ELLIS),X397,X,0.00,0.00,0.00,0.00,7.00,0.02,66.00,0.21,214.00,0.69,9.00,0.03,13.00,0.04,0.96,1.00,0.00,295.00,0.96,266.00,0.86,0.98,309.00,0.00
10X433,High School for Teaching and the Professions,X433,X,0.00,0.00,0.00,0.00,12.00,0.03,60.00,0.15,319.00,0.77,5.00,0.01,18.00,0.04,0.96,95.00,0.23,109.00,0.26,359.00,0.87,0.93,414.00,0.00
10X434,Belmont Preparatory High School,X434,,,,,,18.00,0.05,85.00,0.22,277.00,0.71,5.00,0.01,5.00,0.01,0.99,90.00,0.23,47.00,0.12,329.00,0.84,0.84,390.00,0.00
10X437,Fordham High School for the Arts,X437,X,0.00,0.00,0.00,0.00,5.00,0.02,123.00,0.39,176.00,0.55,8.00,0.03,7.00,0.02,0.98,69.00,0.22,12.00,0.04,285.00,0.89,0.80,319.00,0.00
10X438,Fordham Leadership Academy,X438,X,0.00,0.00,0.00,0.00,10.00,0.03,90.00,0.26,243.00,0.69,4.00,0.01,5.00,0.01,0.99,85.00,0.24,70.00,0.20,290.00,0.82,0.89,352.00,0.00
10X439,Bronx High School for Law and Community Service,X439,X,0.00,0.00,0.00,0.00,6.00,0.02,111.00,0.28,268.00,0.67,7.00,0.02,10.00,0.03,0.98,102.00,0.25,52.00,0.13,361.00,0.90,0.88,402.00,0.00
10X440,DeWitt Clinton High School,X440,X,0.00,0.00,0.00,0.00,120.00,0.11,355.00,0.32,583.00,0.52,26.00,0.02,35.00,0.03,0.97,212.00,0.19,166.00,0.15,882.00,0.79,0.83,1119.00,0.00
10X524,Crotona International High School,X524,X,0.00,0.00,0.00,0.00,5.00,0.02,21.00,0.06,292.00,0.88,2.00,0.01,13.00,0.04,0.96,11.00,0.03,319.00,0.96,281.00,0.84,0.99,333.00,0.00
10X546,Bronx Theatre High School,X546,X,0.00,0.00,0.00,0.00,4.00,0.01,112.00,0.32,210.00,0.61,12.00,0.04,9.00,0.03,0.97,82.00,0.24,20.00,0.06,292.00,0.84,0.91,347.00,0.00
10X549,Discovery High School,X549,X,0.00,0.00,0.00,0.00,20.00,0.04,81.00,0.17,372.00,0.76,6.00,0.01,11.00,0.02,0.98,124.00,0.25,123.00,0.25,421.00,0.86,0.90,490.00,0.00
10X565,High School for Energy and Technology,X565,X,0.00,0.00,0.00,0.00,15.00,0.04,98.00,0.24,284.00,0.70,4.00,0.01,5.00,0.01,0.99,109.00,0.27,58.00,0.14,330.00,0.81,0.88,406.00,0.00
11X068,P.S. 068 Bronx,X068,,,,,,9.00,0.01,483.00,0.75,131.00,0.20,11.00,0.02,9.00,0.01,0.99,154.00,0.24,10.00,0.02,424.00,0.66,0.70,643.00,0.00
11X083,P.S. 083 Donald Hertz,X083,,,,,,162.00,0.10,115.00,0.07,792.00,0.48,22.00,0.01,557.00,0.34,0.66,320.00,0.19,286.00,0.17,1066.00,0.65,0.71,1648.00,0.00
11X089,P.S. 089 Bronx,X089,,,,,,156.00,0.10,308.00,0.20,835.00,0.54,20.00,0.01,231.00,0.15,0.85,256.00,0.17,309.00,0.20,1190.00,0.77,0.83,1550.00,0.00
11X103,P.S. 103 Hector Fontanez,X103,,,,,,28.00,0.03,473.00,0.46,451.00,0.44,34.00,0.03,33.00,0.03,0.97,238.00,0.23,183.00,0.18,901.00,0.88,0.88,1019.00,0.00
11X112,P.S. 112 Bronxwood,X112,,,,,,0.00,0.00,215.00,0.52,190.00,0.46,0.00,0.00,9.00,0.02,0.98,92.00,0.22,21.00,0.05,364.00,0.88,0.91,414.00,0.00
11X127,J.H.S. 127 The Castle Hill,X127,,,,,,270.00,0.32,188.00,0.22,346.00,0.41,24.00,0.03,22.00,0.03,0.97,163.00,0.19,112.00,0.13,627.00,0.74,0.77,850.00,0.00
11X144,J.H.S. 144 Michelangelo,X144,,,,,,31.00,0.06,285.00,0.59,148.00,0.31,2.00,0.00,19.00,0.04,0.96,121.00,0.25,52.00,0.11,369.00,0.76,0.79,485.00,0.00
11X160,P.S. 160 Walt Disney,X160,,,,,,7.00,0.02,232.00,0.62,117.00,0.31,15.00,0.04,6.00,0.02,0.98,96.00,0.26,15.00,0.04,264.00,0.70,0.53,377.00,0.00
11X178,P.S. 178 - Dr. Selman Waksman,X178,,,,,,14.00,0.03,247.00,0.60,119.00,0.29,5.00,0.01,25.00,0.06,0.94,91.00,0.22,19.00,0.05,315.00,0.77,0.59,410.00,0.00
11X180,M.S. 180 Dr. Daniel Hale Williams,X180,,,,,,32.00,0.03,681.00,0.67,246.00,0.24,27.00,0.03,30.00,0.03,0.97,202.00,0.20,33.00,0.03,692.00,0.68,0.56,1016.00,0.00
11X249,Bronx Health Sciences High School,X249,,,,,,18.00,0.06,156.00,0.53,93.00,0.32,16.00,0.05,12.00,0.04,0.96,38.00,0.13,14.00,0.05,205.00,0.70,0.69,295.00,0.00
11X253,Bronx High School for Writing and Communication Arts,X253,,,,,,15.00,0.05,151.00,0.48,139.00,0.44,5.00,0.02,7.00,0.02,0.98,75.00,0.24,49.00,0.16,224.00,0.71,0.80,317.00,0.00
11X265,Bronx Lab School,X265,X,0.00,0.00,0.00,0.00,9.00,0.02,130.00,0.35,209.00,0.56,11.00,0.03,12.00,0.03,0.97,112.00,0.30,57.00,0.15,309.00,0.83,0.89,371.00,0.00
11X270,Academy for Scholarship and Entrepreneurship: A College Board School,X270,X,0.00,0.00,0.00,0.00,6.00,0.02,233.00,0.63,111.00,0.30,12.00,0.03,6.00,0.02,0.98,83.00,0.23,19.00,0.05,271.00,0.74,0.76,368.00,0.00
11X275,High School of Computers and Technology,X275,X,0.00,0.00,0.00,0.00,43.00,0.08,190.00,0.35,288.00,0.53,13.00,0.02,8.00,0.02,0.99,136.00,0.25,44.00,0.08,413.00,0.76,0.83,542.00,0.00
11X287,North Bronx School of Empowerment,X287,,,,,,22.00,0.04,322.00,0.57,198.00,0.35,10.00,0.02,11.00,0.02,0.98,148.00,0.26,76.00,0.14,498.00,0.89,0.88,563.00,0.00
11X288,Collegiate Institute for Math and Science,X288,,,,,,70.00,0.12,208.00,0.34,245.00,0.40,12.00,0.02,72.00,0.12,0.88,113.00,0.19,20.00,0.03,440.00,0.73,0.71,607.00,0.00
11X290,Bronx Academy of Health Careers,X290,X,0.00,0.00,0.00,0.00,14.00,0.04,148.00,0.41,187.00,0.52,6.00,0.02,4.00,0.01,0.99,75.00,0.21,47.00,0.13,282.00,0.79,0.85,359.00,0.00
11X299,Astor Collegiate Academy,X299,X,0.00,0.00,0.00,0.00,40.00,0.08,139.00,0.28,246.00,0.49,15.00,0.03,60.00,0.12,0.88,115.00,0.23,38.00,0.08,361.00,0.72,0.74,500.00,0.00
11X355,Bronx Alliance Middle School,X355,,,,,,9.00,0.03,182.00,0.61,104.00,0.35,4.00,0.01,1.00,0.00,1.00,70.00,0.23,19.00,0.06,260.00,0.87,0.86,300.00,0.00
11X357,Young Voices Academy of the Bronx,X357,,,,,,56.00,0.13,37.00,0.09,268.00,0.63,3.00,0.01,61.00,0.14,0.86,58.00,0.14,83.00,0.20,346.00,0.81,0.79,425.00,0.00
11X370,Leaders of Tomorrow,X370,,,,,,5.00,0.01,253.00,0.59,160.00,0.37,5.00,0.01,6.00,0.01,0.99,134.00,0.31,59.00,0.14,390.00,0.91,0.87,429.00,0.00
11X418,Bronx High School for the Visual Arts,X418,X,0.00,0.00,0.00,0.00,17.00,0.04,125.00,0.27,272.00,0.59,4.00,0.01,43.00,0.09,0.91,137.00,0.30,28.00,0.06,361.00,0.78,0.78,461.00,0.00
11X455,Harry S Truman High School,X455,,,,,,66.00,0.03,1037.00,0.50,868.00,0.42,53.00,0.03,57.00,0.03,0.97,545.00,0.26,175.00,0.08,1499.00,0.72,0.75,2081.00,0.00
11X462,Cornerstone Academy for Social Action Middle School (CASA),X462,,,,,,0.00,0.00,157.00,0.61,92.00,0.36,4.00,0.02,4.00,0.02,0.98,62.00,0.24,5.00,0.02,191.00,0.74,0.76,257.00,0.00
11X468,Pelham Academy of Academics and Community Engagement,X468,X,0.00,0.00,0.00,0.00,29.00,0.09,56.00,0.17,203.00,0.61,1.00,0.00,43.00,0.13,0.87,75.00,0.23,50.00,0.15,290.00,0.87,0.78,332.00,0.00
11X508,Bronxdale High School,X508,X,0.00,0.00,0.00,0.00,23.00,0.05,130.00,0.28,262.00,0.57,6.00,0.01,38.00,0.08,0.92,105.00,0.23,31.00,0.07,362.00,0.79,0.74,459.00,0.00
11X509,High School of Language and Innovation,X509,,,,,,74.00,0.20,23.00,0.06,204.00,0.54,6.00,0.02,72.00,0.19,0.81,16.00,0.04,304.00,0.80,375.00,0.99,0.98,379.00,0.00
11X513,New World High School,X513,X,0.00,0.00,0.00,0.00,35.00,0.09,46.00,0.12,255.00,0.67,8.00,0.02,37.00,0.10,0.90,22.00,0.06,262.00,0.69,366.00,0.96,0.95,381.00,0.00
11X514,The Bronxwood Preparatory Academy,X514,X,0.00,0.00,0.00,0.00,14.00,0.04,228.00,0.63,93.00,0.26,12.00,0.03,13.00,0.04,0.96,79.00,0.22,35.00,0.10,254.00,0.71,0.74,360.00,0.00
11X542,Pelham Preparatory Academy,X542,X,0.00,0.00,0.00,0.00,38.00,0.07,130.00,0.25,281.00,0.55,9.00,0.02,53.00,0.10,0.90,125.00,0.25,31.00,0.06,372.00,0.73,0.73,511.00,0.00
11X544,High School for Contemporary Arts,X544,X,0.00,0.00,0.00,0.00,7.00,0.02,155.00,0.39,214.00,0.54,5.00,0.01,14.00,0.04,0.97,98.00,0.25,68.00,0.17,312.00,0.79,0.87,395.00,0.00
12X047,P.S. 047 John Randolph,X047,X,0.00,0.00,0.00,0.00,135.00,0.13,181.00,0.17,683.00,0.65,28.00,0.03,27.00,0.03,0.97,202.00,0.19,253.00,0.24,1007.00,0.96,0.91,1054.00,0.00
12X066,P.S. 066 School of Higher Expectations,X066,,,,,,11.00,0.02,160.00,0.27,409.00,0.68,5.00,0.01,13.00,0.02,0.98,127.00,0.21,81.00,0.14,529.00,0.89,0.93,598.00,0.00
12X067,P.S. 067 Mohegan School,X067,X,0.00,0.00,0.00,0.00,1.00,0.00,118.00,0.24,357.00,0.74,6.00,0.01,3.00,0.01,0.99,105.00,0.22,59.00,0.12,479.00,0.99,0.95,485.00,0.00
12X098,J.H.S. 098 Herman Ridder,X098,X,0.00,0.00,0.00,0.00,9.00,0.03,67.00,0.25,182.00,0.68,5.00,0.02,3.00,0.01,0.99,72.00,0.27,95.00,0.36,246.00,0.93,0.92,266.00,0.00
12X129,M.S. 129 Academy for Independent Learning and Leadership,X129,,,,,,17.00,0.03,126.00,0.23,382.00,0.71,6.00,0.01,10.00,0.02,0.98,139.00,0.26,73.00,0.14,486.00,0.90,0.93,541.00,0.00
12X134,P.S. 134 George F. Bristow,X134,X,0.00,0.00,0.00,0.00,9.00,0.01,247.00,0.40,334.00,0.54,17.00,0.03,15.00,0.02,0.98,111.00,0.18,102.00,0.16,602.00,0.97,0.94,622.00,0.00
12X212,P.S. 212,X212,X,0.00,0.00,0.00,0.00,0.00,0.00,51.00,0.28,124.00,0.69,2.00,0.01,3.00,0.02,0.98,22.00,0.12,48.00,0.27,177.00,0.98,0.96,180.00,0.00
12X214,P.S. 214,X214,X,0.00,0.00,0.00,0.00,29.00,0.03,268.00,0.24,768.00,0.70,18.00,0.02,14.00,0.01,0.99,218.00,0.20,157.00,0.14,937.00,0.85,0.91,1097.00,0.00
12X217,School of Performing Arts,X217,X,0.00,0.00,0.00,0.00,2.00,0.01,114.00,0.34,207.00,0.61,11.00,0.03,5.00,0.02,0.99,99.00,0.29,54.00,0.16,301.00,0.89,0.92,339.00,0.00
12X242,Mott Hall V,X242,X,326.00,0.00,326.00,0.00,17.00,0.03,109.00,0.16,528.00,0.79,12.00,0.02,6.00,0.01,0.99,203.00,0.30,99.00,0.15,593.00,0.88,0.90,672.00,0.00
12X248,"Metropolitan High School, The",X248,X,0.00,0.00,0.00,0.00,4.00,0.01,85.00,0.24,257.00,0.72,4.00,0.01,6.00,0.02,0.98,107.00,0.30,80.00,0.23,334.00,0.94,0.93,356.00,0.00
12X251,Explorations Academy H.S.,X251,X,0.00,0.00,0.00,0.00,5.00,0.02,91.00,0.28,225.00,0.69,3.00,0.01,2.00,0.01,0.99,86.00,0.26,71.00,0.22,284.00,0.87,0.91,326.00,0.00
12X267,Bronx Latin,X267,,,,,,9.00,0.02,110.00,0.19,451.00,0.78,3.00,0.01,7.00,0.01,0.99,144.00,0.25,83.00,0.14,550.00,0.95,0.89,580.00,0.00
12X271,East Bronx Academy for the Future,X271,X,0.00,0.00,0.00,0.00,16.00,0.02,166.00,0.25,464.00,0.70,14.00,0.02,8.00,0.01,0.99,195.00,0.29,112.00,0.17,629.00,0.94,0.92,668.00,0.00
12X273,Frederick Douglass Academy V. Middle School,X273,,,,,,6.00,0.03,75.00,0.34,134.00,0.61,4.00,0.02,1.00,0.01,1.00,52.00,0.24,36.00,0.16,195.00,0.89,0.93,220.00,0.00
12X286,Fannie Lou Hamer Middle School,X286,X,0.00,0.00,0.00,0.00,3.00,0.01,70.00,0.25,200.00,0.71,0.00,0.00,7.00,0.03,0.98,64.00,0.23,46.00,0.16,233.00,0.83,0.90,280.00,0.00
12X300,The School of Science and Applied Learning,X300,X,0.00,0.00,0.00,0.00,3.00,0.01,204.00,0.34,385.00,0.64,2.00,0.00,7.00,0.01,0.99,183.00,0.30,91.00,0.15,547.00,0.91,0.94,601.00,0.00
12X314,Fairmont Neighborhood School,X314,,,,,,0.00,0.00,118.00,0.38,187.00,0.61,0.00,0.00,4.00,0.01,0.99,92.00,0.30,44.00,0.14,292.00,0.95,0.94,309.00,0.00
12X318,"I.S. X318 Math, Science & Technology Through Arts",X318,X,0.00,0.00,0.00,0.00,3.00,0.01,83.00,0.33,162.00,0.64,2.00,0.01,2.00,0.01,0.99,77.00,0.31,34.00,0.14,239.00,0.95,0.93,252.00,0.00
12X341,Accion Academy,X341,X,0.00,0.00,0.00,0.00,4.00,0.01,73.00,0.19,310.00,0.79,2.00,0.01,6.00,0.02,0.99,92.00,0.23,120.00,0.30,379.00,0.96,0.93,395.00,0.00
12X383,Emolior Academy,X383,X,0.00,0.00,0.00,0.00,13.00,0.04,78.00,0.24,212.00,0.65,11.00,0.03,14.00,0.04,0.96,74.00,0.23,68.00,0.21,295.00,0.90,0.90,328.00,0.00
12X388,Pan American International High School at Monroe,X388,X,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.01,440.00,0.99,2.00,0.01,0.00,0.00,1.00,14.00,0.03,390.00,0.88,439.00,0.99,0.99,444.00,0.00
12X446,Arturo A. Schomburg Satellite Academy Bronx,X446,X,0.00,0.00,0.00,0.00,0.00,0.00,67.00,0.37,105.00,0.58,2.00,0.01,8.00,0.04,0.96,38.00,0.21,27.00,0.15,158.00,0.87,0.87,182.00,0.00
12X479,Bronx Career and College Preparatory High School,X479,,,,,,7.00,0.03,96.00,0.36,159.00,0.59,5.00,0.02,1.00,0.00,1.00,76.00,0.28,64.00,0.24,230.00,0.86,0.92,268.00,0.00
12X480,Bronx Regional High School,X480,,,,,,5.00,0.03,61.00,0.34,109.00,0.60,1.00,0.01,5.00,0.03,0.97,34.00,0.19,18.00,0.10,162.00,0.90,0.92,181.00,0.00
12X521,The Metropolitan Soundview High School,X521,X,0.00,0.00,0.00,0.00,11.00,0.03,98.00,0.23,304.00,0.72,3.00,0.01,7.00,0.02,0.98,101.00,0.24,66.00,0.16,386.00,0.91,0.88,423.00,0.00
12X531,Archer Elementary School,X531,X,0.00,0.00,0.00,0.00,68.00,0.14,114.00,0.24,277.00,0.57,15.00,0.03,10.00,0.02,0.98,136.00,0.28,111.00,0.23,462.00,0.96,0.88,484.00,0.00
12X550,High School of World Cultures,X550,X,0.00,0.00,0.00,0.00,43.00,0.09,42.00,0.09,347.00,0.76,6.00,0.01,21.00,0.05,0.95,18.00,0.04,366.00,0.80,446.00,0.97,0.98,459.00,0.00
12X682,Fannie Lou Hamer Freedom High School,X682,X,0.00,0.00,0.00,0.00,4.00,0.01,133.00,0.28,319.00,0.68,9.00,0.02,6.00,0.01,0.99,142.00,0.30,60.00,0.13,387.00,0.82,0.90,471.00,0.00
12X684,Wings Academy,X684,X,0.00,0.00,0.00,0.00,2.00,0.00,259.00,0.56,187.00,0.40,9.00,0.02,6.00,0.01,0.99,136.00,0.29,23.00,0.05,413.00,0.89,0.91,463.00,0.00
13K044,P.S. 044 Marcus Garvey,K044,K,0.00,0.00,0.00,0.00,1.00,0.01,99.00,0.83,15.00,0.13,0.00,0.00,4.00,0.03,0.97,30.00,0.25,10.00,0.08,113.00,0.95,0.92,119.00,0.00
13K046,P.S. 046 Edward C. Blum,K046,,,,,,7.00,0.03,128.00,0.49,114.00,0.44,6.00,0.02,5.00,0.02,0.98,73.00,0.28,38.00,0.15,230.00,0.89,0.84,260.00,0.00
13K093,P.S. 093 William H. Prescott,K093,K,99.49,0.00,0.00,99.49,50.00,0.23,143.00,0.65,22.00,0.10,4.00,0.02,1.00,0.01,1.00,46.00,0.21,21.00,0.10,210.00,0.96,0.91,220.00,0.00
13K265,Dr. Susan S. McKinney Secondary School of the Arts,K265,K,209.87,0.00,180.00,29.87,6.00,0.02,222.00,0.71,76.00,0.24,5.00,0.02,4.00,0.01,0.99,88.00,0.28,12.00,0.04,280.00,0.90,0.87,313.00,0.00
13K266,M.S. K266 - Park Place Community Middle School,K266,,,,,,4.00,0.03,114.00,0.71,36.00,0.23,1.00,0.01,5.00,0.03,0.97,51.00,0.32,10.00,0.06,130.00,0.81,0.77,160.00,0.00
13K270,P.S. 270 Johann DeKalb,K270,,,,,,4.00,0.04,73.00,0.65,32.00,0.29,2.00,0.02,1.00,0.01,0.99,38.00,0.34,8.00,0.07,97.00,0.87,0.89,112.00,0.00
13K287,P.S. 287 Bailey K. Ashford,K287,,,,,,8.00,0.06,94.00,0.65,31.00,0.21,6.00,0.04,6.00,0.04,0.96,36.00,0.25,9.00,0.06,133.00,0.92,0.90,145.00,0.00
13K301,Satellite East Middle School,K301,,,,,,8.00,0.09,64.00,0.68,15.00,0.16,3.00,0.03,4.00,0.04,0.96,27.00,0.29,12.00,0.13,89.00,0.95,0.89,94.00,0.00
13K305,P.S. 305 Dr. Peter Ray,K305,K,0.00,0.00,0.00,0.00,8.00,0.06,99.00,0.70,20.00,0.14,4.00,0.03,11.00,0.08,0.92,40.00,0.28,20.00,0.14,134.00,0.94,0.92,142.00,0.00
13K307,P.S. 307 Daniel Hale Williams,K307,,,,,,10.00,0.03,198.00,0.53,118.00,0.32,9.00,0.02,37.00,0.10,0.90,128.00,0.34,11.00,0.03,287.00,0.77,0.79,372.00,0.00
13K313,Dock Street School for STEAM Studies,K313,,,,,,20.00,0.07,182.00,0.66,50.00,0.18,6.00,0.02,19.00,0.07,0.93,61.00,0.22,1.00,0.00,178.00,0.64,0.60,277.00,0.00
13K350,Urban Assembly School of Music and Art,K350,,,,,,1.00,0.01,154.00,0.74,46.00,0.22,2.00,0.01,4.00,0.02,0.98,49.00,0.24,9.00,0.04,179.00,0.87,0.81,207.00,0.00
13K412,Brooklyn Community Arts & Media High School (BCAM),K412,K,0.00,0.00,0.00,0.00,4.00,0.01,291.00,0.69,111.00,0.26,11.00,0.03,4.00,0.01,0.99,111.00,0.26,15.00,0.04,370.00,0.88,0.80,421.00,0.00
13K430,Brooklyn Technical High School,K430,,,,,,3606.00,0.61,341.00,0.06,417.00,0.07,124.00,0.02,1449.00,0.24,0.76,74.00,0.01,1.00,0.00,3529.00,0.59,0.51,5937.00,0.00
13K439,Brooklyn International High School,K439,K,0.00,0.00,0.00,0.00,90.00,0.25,74.00,0.21,156.00,0.44,0.00,0.00,39.00,0.11,0.89,11.00,0.03,274.00,0.76,281.00,0.78,0.95,359.00,0.00
13K483,The Urban Assembly School for Law and Justice,K483,K,128.68,0.00,20.00,108.68,10.00,0.02,285.00,0.66,114.00,0.26,17.00,0.04,9.00,0.02,0.98,75.00,0.17,9.00,0.02,302.00,0.69,0.68,435.00,0.00
13K499,ACORN Community High School,K499,,,,,,6.00,0.04,116.00,0.77,20.00,0.13,4.00,0.03,4.00,0.03,0.97,39.00,0.26,7.00,0.05,127.00,0.85,0.83,150.00,0.00
13K527,Urban Assembly Institute of Math and Science for Young Women,K527,K,0.00,0.00,0.00,0.00,49.00,0.10,309.00,0.62,75.00,0.15,15.00,0.03,52.00,0.10,0.90,84.00,0.17,34.00,0.07,410.00,0.82,0.80,500.00,0.00
13K553,Brooklyn Academy High School,K553,K,6337.00,0.00,39.00,6298.00,2.00,0.01,184.00,0.82,38.00,0.17,1.00,0.00,0.00,0.00,1.00,61.00,0.27,3.00,0.01,190.00,0.84,0.87,225.00,0.00
13K594,Gotham Professional Arts Academy,K594,,,,,,1.00,0.01,139.00,0.78,36.00,0.20,1.00,0.01,1.00,0.01,0.99,64.00,0.36,7.00,0.04,140.00,0.79,0.85,178.00,0.00
13K595,Bedford Academy High School,K595,,,,,,15.00,0.04,285.00,0.79,31.00,0.09,20.00,0.06,12.00,0.03,0.97,54.00,0.15,4.00,0.01,326.00,0.90,0.61,363.00,0.00
13K616,Brooklyn High School for Leadership and Community Service,K616,K,0.00,0.00,0.00,0.00,2.00,0.01,138.00,0.67,61.00,0.30,3.00,0.02,1.00,0.01,1.00,48.00,0.23,13.00,0.06,165.00,0.81,0.81,205.00,0.00
13K670,Benjamin Banneker Academy,K670,K,45.00,0.00,0.00,45.00,43.00,0.05,643.00,0.79,92.00,0.11,24.00,0.03,8.00,0.01,0.99,120.00,0.15,12.00,0.02,591.00,0.73,0.66,810.00,0.00
13K674,"City Polytechnic High School of Engineering, Architecture, and Technology",K674,K,0.00,0.00,0.00,0.00,31.00,0.07,270.00,0.63,93.00,0.22,10.00,0.02,22.00,0.05,0.95,82.00,0.19,7.00,0.02,325.00,0.76,0.63,426.00,0.00
13K691,Fort Greene Preparatory Academy,K691,K,0.00,0.00,0.00,0.00,8.00,0.04,141.00,0.66,57.00,0.27,6.00,0.03,3.00,0.01,0.99,66.00,0.31,12.00,0.06,197.00,0.92,0.88,215.00,0.00
14K050,J.H.S. 050 John D. Wells,K050,,,,,,4.00,0.01,67.00,0.21,244.00,0.75,3.00,0.01,6.00,0.02,0.98,97.00,0.30,57.00,0.18,288.00,0.89,0.85,324.00,0.00
14K059,P.S. 059 William Floyd,K059,K,0.00,0.00,0.00,0.00,6.00,0.02,181.00,0.54,139.00,0.41,6.00,0.02,4.00,0.01,0.99,86.00,0.26,26.00,0.08,318.00,0.95,0.94,336.00,0.00
14K071,Juan Morel Campos Secondary School,K071,,,,,,5.00,0.01,100.00,0.19,375.00,0.73,4.00,0.01,31.00,0.06,0.94,175.00,0.34,143.00,0.28,439.00,0.85,0.91,515.00,0.00
14K110,P.S. 110 The Monitor,K110,,,,,,39.00,0.07,8.00,0.01,101.00,0.18,15.00,0.03,394.00,0.71,0.29,45.00,0.08,39.00,0.07,132.00,0.24,0.30,557.00,0.00
14K120,P.S. 120 Carlos Tapia,K120,,,,,,5.00,0.01,74.00,0.19,281.00,0.74,4.00,0.01,17.00,0.05,0.96,80.00,0.21,63.00,0.17,333.00,0.87,0.91,381.00,0.00
14K126,John Ericsson Middle School 126,K126,K,894.12,0.00,0.00,894.12,2.00,0.01,79.00,0.21,254.00,0.69,0.00,0.00,34.00,0.09,0.91,97.00,0.26,33.00,0.09,319.00,0.86,0.85,369.00,0.00
14K157,P.S./I.S. 157 The Benjamin Franklin Health & Science Academy,K157,,,,,,1.00,0.00,75.00,0.18,331.00,0.79,2.00,0.01,8.00,0.02,0.98,119.00,0.29,66.00,0.16,342.00,0.82,0.88,417.00,0.00
14K196,P.S. 196 Ten Eyck,K196,,,,,,2.00,0.01,67.00,0.21,245.00,0.75,3.00,0.01,10.00,0.03,0.97,74.00,0.23,32.00,0.10,282.00,0.86,0.84,327.00,0.00
14K318,I.S. 318 Eugenio Maria De Hostos,K318,K,17484.36,0.00,2450.80,15033.56,94.00,0.08,202.00,0.17,684.00,0.57,10.00,0.01,215.00,0.18,0.82,225.00,0.19,66.00,0.06,749.00,0.62,0.70,1205.00,0.00
14K380,P.S. 380 John Wayne Elementary,K380,,,,,,6.00,0.01,111.00,0.20,395.00,0.69,0.00,0.00,58.00,0.10,0.90,150.00,0.26,111.00,0.20,441.00,0.77,0.85,570.00,0.00
14K454,The Williamsburg High School of Art and Technology,K454,K,0.00,0.00,0.00,0.00,10.00,0.03,68.00,0.23,204.00,0.68,4.00,0.01,16.00,0.05,0.95,75.00,0.25,72.00,0.24,237.00,0.79,0.83,302.00,0.00
14K474,PROGRESS High School for Professional Careers,K474,,,,,,4.00,0.01,183.00,0.27,464.00,0.69,16.00,0.02,7.00,0.01,0.99,141.00,0.21,139.00,0.21,563.00,0.84,0.88,674.00,0.00
14K477,East Williamsburg Scholars Academy,K477,K,0.00,0.00,0.00,0.00,2.00,0.01,107.00,0.35,188.00,0.62,4.00,0.01,3.00,0.01,0.99,65.00,0.21,100.00,0.33,275.00,0.91,0.88,304.00,0.00
14K478,"The High School for Enterprise, Business and Technology",K478,K,0.00,0.00,0.00,0.00,50.00,0.06,251.00,0.30,494.00,0.59,16.00,0.02,20.00,0.02,0.98,134.00,0.16,96.00,0.12,713.00,0.86,0.82,831.00,0.00
14K488,Brooklyn Preparatory High School,K488,,,,,,5.00,0.01,225.00,0.43,281.00,0.53,8.00,0.02,8.00,0.02,0.99,99.00,0.19,11.00,0.02,439.00,0.83,0.76,527.00,0.00
