,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Season,ID,Team,TS%,eFG%,Total S%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,PPS,FIC40,ORtg,DRtg,eDiff,Poss,Pace,Season,ID
17,Brooklyn,82,48.4,96.9,35.9,79.8,.450,7.7,21.5,.357,17.5,23.9,.731,12.8,30.0,42.8,20.3,7.3,4.8,14.7,18.3,2013,Brooklyn2013,Brooklyn,.536,.498,153.8,30.9,73.7,52.2,56.7,14.0,8.2,7.5,1.2,59.4,108.2,106.2,2.0,"7,343.1",88.8,2013,Brooklyn2013
21,Brooklyn,82,48.5,98.5,35.7,77.9,.459,8.6,23.4,.369,18.4,24.4,.753,8.8,29.4,38.1,20.9,8.6,3.8,14.5,21.7,2014,Brooklyn2014,Brooklyn,.555,.514,158.1,21.7,72.3,47.1,58.5,14.1,9.3,6.6,1.3,57.5,106.7,107.7,-1.1,"7,574.7",91.4,2014,Brooklyn2014
21,Brooklyn,82,48.6,98.0,37.4,83.0,.451,6.6,19.9,.331,16.6,22.2,.748,10.3,32.0,42.4,20.9,7.0,4.1,13.8,19.3,2015,Brooklyn2015,Brooklyn,.529,.491,153.0,23.9,73.7,48.9,55.9,13.0,7.5,6.8,1.2,58.0,104.4,107.4,-3.1,"7,700.3",92.7,2015,Brooklyn2015
26,Brooklyn,82,48.2,98.6,38.2,84.4,.453,6.5,18.4,.352,15.7,20.7,.757,10.5,31.9,42.4,22.3,7.6,4.0,14.8,18.0,2016,Brooklyn2016,Brooklyn,.527,.492,156.2,24.1,75.7,49.4,58.3,13.6,8.0,6.8,1.2,60.0,103.2,110.9,-7.7,"7,839.2",95.2,2016,Brooklyn2016
12,Brooklyn,82,48.2,105.8,37.8,85.2,.444,10.7,31.6,.338,19.4,24.6,.788,8.8,35.1,43.9,21.4,7.2,4.7,16.5,21.0,2017,Brooklyn2017,Brooklyn,.551,.507,157.1,19.6,76.1,48.2,56.6,14.7,7.1,7.4,1.2,61.5,104.1,110.7,-6.6,"8,333.3",101.2,2017,Brooklyn2017
14,Brooklyn,82,48.4,106.6,38.2,86.8,.441,12.7,35.7,.356,17.4,22.6,.772,9.7,34.8,44.4,23.7,6.2,4.8,15.3,20.6,2018,Brooklyn2018,Brooklyn,.551,.514,156.9,21.0,77.0,48.7,61.9,13.7,6.3,7.3,1.2,64.3,106.7,110.4,-3.7,"8,192.1",99.0,2018,Brooklyn2018
15,Brooklyn,82,48.7,112.2,40.3,89.7,.449,12.8,36.2,.353,19.0,25.5,.745,11.0,35.6,46.6,23.8,6.6,4.1,15.1,21.5,2019,Brooklyn2019,Brooklyn,.556,.520,154.6,23.8,76.4,50.2,59.2,13.0,6.4,6.7,1.3,67.1,109.6,109.7,-0.1,"8,395.5",100.8,2019,Brooklyn2019
16,Brooklyn,72,48.6,111.8,40.4,90.3,.448,13.1,38.1,.343,17.9,24.1,.745,10.7,37.3,47.9,24.5,6.4,4.5,15.3,21.0,2020,Brooklyn2020,Brooklyn,.554,.520,153.6,23.2,77.8,51.1,60.6,13.1,6.3,7.7,1.2,68.6,108.9,109.5,-0.6,"7,387.5",101.4,2020,Brooklyn2020
2,Brooklyn,72,48.3,118.6,43.1,87.3,.494,14.2,36.1,.392,18.1,22.5,.804,8.9,35.5,44.4,26.8,6.7,5.3,13.5,19.0,2021,Brooklyn2021,Brooklyn,.610,.575,169.0,21.4,77.3,50.8,62.1,12.2,6.7,9.6,1.4,79.3,118.3,113.8,4.5,"7,216.6",99.5,2021,Brooklyn2021
9,Brooklyn,82,48.2,112.9,42.0,88.4,.475,11.5,31.7,.361,17.5,21.7,.805,10.3,34.1,44.4,25.3,7.1,5.5,14.1,20.4,2022,Brooklyn2022,Brooklyn,.576,.540,164.1,23.9,75.1,50.2,60.2,12.5,7.1,10.1,1.3,73.0,113.6,112.8,0.8,"8,150.4",99.0,2022,Brooklyn2022
20,Brooklyn,82,48.1,113.4,41.5,85.1,.487,12.8,33.8,.378,17.7,22.1,.800,8.2,32.3,40.5,25.5,7.1,6.2,13.7,21.1,2023,Brooklyn2023,Brooklyn,.598,.562,166.5,19.6,73.7,47.3,61.6,12.6,7.2,11.0,1.3,73.4,115.0,114.2,0.9,"8,080.8",98.3,2023,Brooklyn2023
14,Charlotte,82.0,48.2,98.4,35.8,79.7,0.449,4.1,12.2,0.339,22.7,30.0,0.758,10.8,32.1,42.9,24.7,8.9,5.9,14.7,20.4,2000,Charlotte2000,Charlotte,0.53,0.475,154.6,25.7,73.2,50.0,68.9,13.7,9.4,8.4,1.2,63.7,104.3,101.4,2.8,"7,740.9",93.9,2000,Charlotte2000
24,Charlotte,82,48.5,91.9,34.1,79.3,.431,4.1,12.0,.346,19.5,26.2,.745,12.6,31.8,44.4,23.2,8.1,5.5,14.6,21.4,2001,Charlotte2001,Charlotte,.506,.457,152.1,29.8,74.5,52.2,67.9,13.8,8.9,8.4,1.2,58.3,101.6,99.2,2.3,"7,423.5",89.6,2001,Charlotte2001
20,Charlotte,82,48.2,93.9,35.3,80.2,.440,4.2,12.1,.348,19.1,25.7,.745,12.9,30.5,43.5,21.5,8.0,5.6,14.0,21.3,2002,Charlotte2002,Charlotte,.513,.466,153.3,30.6,72.2,51.5,60.8,13.3,8.8,8.4,1.2,58.3,104.3,103.3,1.1,"7,380.3",89.7,2002,Charlotte2002
22,Charlotte,82,48.5,94.3,36.1,83.6,.432,3.9,10.7,.363,18.1,25.6,.709,13.2,28.5,41.7,21.9,8.5,5.4,14.5,23.1,2005,Charlotte2005,Charlotte,.497,.455,150.4,29.5,70.9,49.1,60.6,13.2,9.1,8.3,1.1,54.6,101.2,107.6,-6.4,"7,640.5",92.2,2005,Charlotte2005
18,Charlotte,82,48.6,96.9,36.1,83.5,.433,5.2,15.4,.339,19.4,26.7,.729,12.1,27.7,39.8,20.9,10.0,4.3,13.8,23.9,2006,Charlotte2006,Charlotte,.509,.464,150.1,27.1,70.7,47.5,58.0,12.7,10.7,6.9,1.2,54.9,102.9,107.1,-4.2,"7,720.0",93.1,2006,Charlotte2006
18,Charlotte,82,48.8,96.9,36.1,81.0,.446,5.6,15.6,.357,19.1,26.0,.734,11.2,28.6,39.8,22.4,7.8,4.5,14.9,24.2,2007,Charlotte2007,Charlotte,.524,.480,153.7,26.4,71.6,48.3,62.0,13.9,8.3,7.1,1.2,54.7,103.6,107.6,-4.0,"7,670.7",92.0,2007,Charlotte2007
19,Charlotte,82,48.5,97.1,36.1,79.9,.452,6.5,17.6,.367,18.4,25.8,.714,10.9,29.8,40.6,21.3,7.5,4.9,14.7,21.7,2008,Charlotte2008,Charlotte,.532,.492,153.2,25.6,71.0,48.2,59.1,13.9,8.1,7.7,1.2,56.8,104.6,109.4,-4.7,"7,605.9",91.8,2008,Charlotte2008
30,Charlotte,82,48.6,93.6,35.0,76.8,.455,6.0,16.3,.366,17.7,24.0,.740,10.8,28.9,39.7,21.2,7.1,4.8,15.6,21.4,2009,Charlotte2009,Charlotte,.536,.494,156.1,27.7,73.0,50.5,60.7,15.1,7.9,8.2,1.2,54.6,104.7,106.1,-1.4,"7,334.5",88.3,2009,Charlotte2009
28,Charlotte,82,48.5,95.3,34.9,76.9,.453,5.6,16.2,.346,20.0,26.6,.751,10.5,30.4,40.8,20.2,7.7,5.4,15.7,19.5,2010,Charlotte2010,Charlotte,.538,.490,155.0,26.5,74.2,50.7,58.0,15.1,8.5,9.2,1.2,56.7,104.4,102.8,1.6,"7,484.1",90.4,2010,Charlotte2010
29,Charlotte,82,48.3,93.3,35.0,77.6,.451,4.8,14.7,.327,18.4,24.4,.756,10.3,29.8,40.1,21.1,6.4,5.3,14.5,20.0,2011,Charlotte2011,Charlotte,.528,.482,153.4,25.7,75.2,50.3,60.1,14.1,7.1,8.9,1.2,55.4,103.4,107.8,-4.4,"7,397.7",89.6,2011,Charlotte2011
30,Charlotte,66,48.2,87.0,33.2,80.2,.414,4.0,13.5,.295,16.5,22.2,.746,10.3,28.7,39.0,20.1,6.0,5.5,14.5,18.9,2012,Charlotte2012,Charlotte,.483,.439,145.5,23.6,70.9,46.4,60.5,13.9,6.6,8.5,1.1,48.1,95.2,110.4,-15.2,"6,031.0",91.1,2012,Charlotte2012
